"Type.of.vehicle" "Single.Journey" "Return.Journey" "Monthly.Pass" "Local.Commercial.Vehicle" "tollbooth" "route" "concession" "Effective.Date" "Revision.Due.Date" "location" "Stretch" "Min.Road.Length" "Max.Road.Length" "funding.Model" "Capital.cost" "Commercial.Operation.Date" "Cumulative.Revenue" "Cumulative.Date" "Fee.Notification.Date" "Fee.Notification.No" "Design.Capacity" "Incharge" "Contractor" "Target.Traffic" "Target.Date" "Actual.Traffic" "Actual.Date" "Cumulative.Revenue.Discounted"
"2020" "HCM/EME" 113 113 NA NA " Koshta ( BOT ) " 1 NA 2013-04-27 2015-04-27 " Koshta ( BOT )  Km 650 - NH-7 in Madhya Pradesh  " " Rewa by Pass  " 19.44 "s) " "( BOT ) " 480000000 2007-04-27 951200000 2014-05-31 2007-04-27 "Sr No. - 4961)" NA "Ajay Pratap Singh / 9425912721" "Ajay Pratap Singh" NA 2014-04-01 10762 2014-05-31 FALSE
"2021" "7 or more Axle" 194 194 NA NA " Koshta ( BOT ) " 1 NA 2013-04-27 2015-04-27 " Koshta ( BOT )  Km 650 - NH-7 in Madhya Pradesh  " " Rewa by Pass  " 19.44 "s) " "( BOT ) " 480000000 2007-04-27 951200000 2014-05-31 2007-04-27 "Sr No. - 4961)" NA "Ajay Pratap Singh / 9425912721" "Ajay Pratap Singh" NA 2014-04-01 10762 2014-05-31 FALSE
"2022" "Car/Jeep/Van" 21 32 945 NA " Kardha ( Bridges ) " 1 NA 2013-08-12 2014-04-01 " Kardha ( Bridges )  Km 489.360 - NH-6 in Maharashtra  " " Construction of Bridge and its approaches a/c Wainganga River in Km. 419/00 on Nh-6  " 485 "s) " "( Bridges ) " 2615800000 2001-03-03 1918000000 2014-03-31 2001-03-02 "Sr No. - 194" NA "Mr.Ashok Jaiswal / 9372152726" "Mr. Abhijeet Ashoka Infrastructure Pvt. Ltd. Nagpur" NA 2014-04-01 19770 2014-04-30 FALSE
"2023" "LCV" 21 32 945 NA " Kardha ( Bridges ) " 1 NA 2013-08-12 2014-04-01 " Kardha ( Bridges )  Km 489.360 - NH-6 in Maharashtra  " " Construction of Bridge and its approaches a/c Wainganga River in Km. 419/00 on Nh-6  " 485 "s) " "( Bridges ) " 2615800000 2001-03-03 1918000000 2014-03-31 2001-03-02 "Sr No. - 194" NA "Mr.Ashok Jaiswal / 9372152726" "Mr. Abhijeet Ashoka Infrastructure Pvt. Ltd. Nagpur" NA 2014-04-01 19770 2014-04-30 FALSE
"2024" "Bus/Truck" 106 159 4770 NA " Kardha ( Bridges ) " 1 NA 2013-08-12 2014-04-01 " Kardha ( Bridges )  Km 489.360 - NH-6 in Maharashtra  " " Construction of Bridge and its approaches a/c Wainganga River in Km. 419/00 on Nh-6  " 485 "s) " "( Bridges ) " 2615800000 2001-03-03 1918000000 2014-03-31 2001-03-02 "Sr No. - 194" NA "Mr.Ashok Jaiswal / 9372152726" "Mr. Abhijeet Ashoka Infrastructure Pvt. Ltd. Nagpur" NA 2014-04-01 19770 2014-04-30 FALSE
"2025" "Upto 3 or more Axle Vehicle" 169 254 7605 NA " Kardha ( Bridges ) " 1 NA 2013-08-12 2014-04-01 " Kardha ( Bridges )  Km 489.360 - NH-6 in Maharashtra  " " Construction of Bridge and its approaches a/c Wainganga River in Km. 419/00 on Nh-6  " 485 "s) " "( Bridges ) " 2615800000 2001-03-03 1918000000 2014-03-31 2001-03-02 "Sr No. - 194" NA "Mr.Ashok Jaiswal / 9372152726" "Mr. Abhijeet Ashoka Infrastructure Pvt. Ltd. Nagpur" NA 2014-04-01 19770 2014-04-30 FALSE
"2026" "Car/Jeep/Van" 10 15 300 NA " Tiwasa ( Bridges ) " 1 NA 2008-06-10 2014-04-01 " Tiwasa ( Bridges )  Km 114.209 - NH-6 in Maharashtra  " " Pinglai River in Km. 114.209  " 112 "s) " "( Bridges ) " 145000000 2005-07-28 394200000 2014-03-31 2005-05-27 "Sr No. - 1060" NA "Mr. Pravin Wankhede / 9970095846" "M/s V.H.P.L.-A.D.C.C.Pinglai Infrastructure  Pvt.Lt. Nagpur" NA 2014-04-01 29374 2007-12-17 FALSE
"2027" "LCV" 10 15 300 NA " Tiwasa ( Bridges ) " 1 NA 2008-06-10 2014-04-01 " Tiwasa ( Bridges )  Km 114.209 - NH-6 in Maharashtra  " " Pinglai River in Km. 114.209  " 112 "s) " "( Bridges ) " 145000000 2005-07-28 394200000 2014-03-31 2005-05-27 "Sr No. - 1060" NA "Mr. Pravin Wankhede / 9970095846" "M/s V.H.P.L.-A.D.C.C.Pinglai Infrastructure  Pvt.Lt. Nagpur" NA 2014-04-01 29374 2007-12-17 FALSE
"2028" "Bus/Truck" 35 52 1050 NA " Tiwasa ( Bridges ) " 1 NA 2008-06-10 2014-04-01 " Tiwasa ( Bridges )  Km 114.209 - NH-6 in Maharashtra  " " Pinglai River in Km. 114.209  " 112 "s) " "( Bridges ) " 145000000 2005-07-28 394200000 2014-03-31 2005-05-27 "Sr No. - 1060" NA "Mr. Pravin Wankhede / 9970095846" "M/s V.H.P.L.-A.D.C.C.Pinglai Infrastructure  Pvt.Lt. Nagpur" NA 2014-04-01 29374 2007-12-17 FALSE
"2029" "Upto 3 or more Axle Vehicle" 35 52 1050 NA " Tiwasa ( Bridges ) " 1 NA 2008-06-10 2014-04-01 " Tiwasa ( Bridges )  Km 114.209 - NH-6 in Maharashtra  " " Pinglai River in Km. 114.209  " 112 "s) " "( Bridges ) " 145000000 2005-07-28 394200000 2014-03-31 2005-05-27 "Sr No. - 1060" NA "Mr. Pravin Wankhede / 9970095846" "M/s V.H.P.L.-A.D.C.C.Pinglai Infrastructure  Pvt.Lt. Nagpur" NA 2014-04-01 29374 2007-12-17 FALSE
"2030" "Car/Jeep/Van" 8 12 240 NA " Nardana ( BOT ) " 1 NA 2014-11-18 2014-04-01 " Nardana ( BOT )  Km 225/200 - NH-3 in Maharashtra  " " Km  219.700 to 233.00  " 13.3 "s) " "( BOT ) " 34211500000 1999-07-22 1356100000 2014-04-01 1999-07-14 "Sr No. - NA)" NA "Subhash Jain / 9657368971" "MORTH" NA 2014-04-01 NA 2014-04-01 FALSE
"2031" "LCV" 8 12 240 NA " Nardana ( BOT ) " 1 NA 2014-11-18 2014-04-01 " Nardana ( BOT )  Km 225/200 - NH-3 in Maharashtra  " " Km  219.700 to 233.00  " 13.3 "s) " "( BOT ) " 34211500000 1999-07-22 1356100000 2014-04-01 1999-07-14 "Sr No. - NA)" NA "Subhash Jain / 9657368971" "MORTH" NA 2014-04-01 NA 2014-04-01 FALSE
"2032" "Bus/Truck" 25 37.5 750 NA " Nardana ( BOT ) " 1 NA 2014-11-18 2014-04-01 " Nardana ( BOT )  Km 225/200 - NH-3 in Maharashtra  " " Km  219.700 to 233.00  " 13.3 "s) " "( BOT ) " 34211500000 1999-07-22 1356100000 2014-04-01 1999-07-14 "Sr No. - NA)" NA "Subhash Jain / 9657368971" "MORTH" NA 2014-04-01 NA 2014-04-01 FALSE
"2033" "Upto 3 Axle Vehicle" 30 45 900 NA " Nardana ( BOT ) " 1 NA 2014-11-18 2014-04-01 " Nardana ( BOT )  Km 225/200 - NH-3 in Maharashtra  " " Km  219.700 to 233.00  " 13.3 "s) " "( BOT ) " 34211500000 1999-07-22 1356100000 2014-04-01 1999-07-14 "Sr No. - NA)" NA "Subhash Jain / 9657368971" "MORTH" NA 2014-04-01 NA 2014-04-01 FALSE
"2034" "4 to 6 Axle" 80 120 2400 NA " Nardana ( BOT ) " 1 NA 2014-11-18 2014-04-01 " Nardana ( BOT )  Km 225/200 - NH-3 in Maharashtra  " " Km  219.700 to 233.00  " 13.3 "s) " "( BOT ) " 34211500000 1999-07-22 1356100000 2014-04-01 1999-07-14 "Sr No. - NA)" NA "Subhash Jain / 9657368971" "MORTH" NA 2014-04-01 NA 2014-04-01 FALSE
"2035" "HCM/EME" NA NA NA NA " Nardana ( BOT ) " 1 NA 2014-11-18 2014-04-01 " Nardana ( BOT )  Km 225/200 - NH-3 in Maharashtra  " " Km  219.700 to 233.00  " 13.3 "s) " "( BOT ) " 34211500000 1999-07-22 1356100000 2014-04-01 1999-07-14 "Sr No. - NA)" NA "Subhash Jain / 9657368971" "MORTH" NA 2014-04-01 NA 2014-04-01 FALSE
"2036" "7 or more Axle" NA NA NA NA " Nardana ( BOT ) " 1 NA 2014-11-18 2014-04-01 " Nardana ( BOT )  Km 225/200 - NH-3 in Maharashtra  " " Km  219.700 to 233.00  " 13.3 "s) " "( BOT ) " 34211500000 1999-07-22 1356100000 2014-04-01 1999-07-14 "Sr No. - NA)" NA "Subhash Jain / 9657368971" "MORTH" NA 2014-04-01 NA 2014-04-01 FALSE
"2037" "Car/Jeep/Van" 35 50 1125 NA " Baretha ( BOT ) " 1 NA 2014-04-01 2015-03-01 " Baretha ( BOT )  Km 21.120 - NH-92 in Madhya Pradesh  " " Gwalior to MP/UP Border (Km 0.000 to 107.500)  " 50 "s) " "( BOT ) " 3145300000 2013-03-01 4814800000 2014-05-31 2013-03-01 "Sr No. - 500" 25000 "Amit Rathor / 9893594777" "M.P. Highways Pvt. Ltd." 21458 2017-04-01 15128 2014-05-31 FALSE
"2038" "LCV" 55 80 1815 NA " Baretha ( BOT ) " 1 NA 2014-04-01 2015-03-01 " Baretha ( BOT )  Km 21.120 - NH-92 in Madhya Pradesh  " " Gwalior to MP/UP Border (Km 0.000 to 107.500)  " 50 "s) " "( BOT ) " 3145300000 2013-03-01 4814800000 2014-05-31 2013-03-01 "Sr No. - 500" 25000 "Amit Rathor / 9893594777" "M.P. Highways Pvt. Ltd." 21458 2017-04-01 15128 2014-05-31 FALSE
"2039" "Bus/Truck" 115 170 3805 NA " Baretha ( BOT ) " 1 NA 2014-04-01 2015-03-01 " Baretha ( BOT )  Km 21.120 - NH-92 in Madhya Pradesh  " " Gwalior to MP/UP Border (Km 0.000 to 107.500)  " 50 "s) " "( BOT ) " 3145300000 2013-03-01 4814800000 2014-05-31 2013-03-01 "Sr No. - 500" 25000 "Amit Rathor / 9893594777" "M.P. Highways Pvt. Ltd." 21458 2017-04-01 15128 2014-05-31 FALSE
"2040" "Upto 3 Axle Vehicle" 180 270 5970 NA " Baretha ( BOT ) " 1 NA 2014-04-01 2015-03-01 " Baretha ( BOT )  Km 21.120 - NH-92 in Madhya Pradesh  " " Gwalior to MP/UP Border (Km 0.000 to 107.500)  " 50 "s) " "( BOT ) " 3145300000 2013-03-01 4814800000 2014-05-31 2013-03-01 "Sr No. - 500" 25000 "Amit Rathor / 9893594777" "M.P. Highways Pvt. Ltd." 21458 2017-04-01 15128 2014-05-31 FALSE
"2041" "4 to 6 Axle" 180 270 5970 NA " Baretha ( BOT ) " 1 NA 2014-04-01 2015-03-01 " Baretha ( BOT )  Km 21.120 - NH-92 in Madhya Pradesh  " " Gwalior to MP/UP Border (Km 0.000 to 107.500)  " 50 "s) " "( BOT ) " 3145300000 2013-03-01 4814800000 2014-05-31 2013-03-01 "Sr No. - 500" 25000 "Amit Rathor / 9893594777" "M.P. Highways Pvt. Ltd." 21458 2017-04-01 15128 2014-05-31 FALSE
"2042" "HCM/EME" 180 270 5970 NA " Baretha ( BOT ) " 1 NA 2014-04-01 2015-03-01 " Baretha ( BOT )  Km 21.120 - NH-92 in Madhya Pradesh  " " Gwalior to MP/UP Border (Km 0.000 to 107.500)  " 50 "s) " "( BOT ) " 3145300000 2013-03-01 4814800000 2014-05-31 2013-03-01 "Sr No. - 500" 25000 "Amit Rathor / 9893594777" "M.P. Highways Pvt. Ltd." 21458 2017-04-01 15128 2014-05-31 FALSE
"2043" "7 or more Axle" 220 325 7265 NA " Baretha ( BOT ) " 1 NA 2014-04-01 2015-03-01 " Baretha ( BOT )  Km 21.120 - NH-92 in Madhya Pradesh  " " Gwalior to MP/UP Border (Km 0.000 to 107.500)  " 50 "s) " "( BOT ) " 3145300000 2013-03-01 4814800000 2014-05-31 2013-03-01 "Sr No. - 500" 25000 "Amit Rathor / 9893594777" "M.P. Highways Pvt. Ltd." 21458 2017-04-01 15128 2014-05-31 FALSE
"2044" "Car/Jeep/Van" 5 7.5 150 NA " Wadakbal ( Bridges ) " 1 NA 2014-04-01 2014-04-01 " Wadakbal ( Bridges )  Wadakbal - NH-13 in Maharashtra  " " Hattur,Bridge@Km. 14/200,& Wadakbal bridge@ Km. 16/500  " 0 "s) " "( Bridges ) " 34900000 1999-09-12 186500000 2014-01-07 2001-12-04 "Sr No. - NA)" NA "Haridas Jadhav / 2172312091" "M/s Patil& Co, Solapur" NA 2014-04-01 20649 2012-07-09 FALSE
"2045" "LCV" 10 15 300 NA " Wadakbal ( Bridges ) " 1 NA 2014-04-01 2014-04-01 " Wadakbal ( Bridges )  Wadakbal - NH-13 in Maharashtra  " " Hattur,Bridge@Km. 14/200,& Wadakbal bridge@ Km. 16/500  " 0 "s) " "( Bridges ) " 34900000 1999-09-12 186500000 2014-01-07 2001-12-04 "Sr No. - NA)" NA "Haridas Jadhav / 2172312091" "M/s Patil& Co, Solapur" NA 2014-04-01 20649 2012-07-09 FALSE
"2046" "Bus/Truck" 15 22.5 300 NA " Wadakbal ( Bridges ) " 1 NA 2014-04-01 2014-04-01 " Wadakbal ( Bridges )  Wadakbal - NH-13 in Maharashtra  " " Hattur,Bridge@Km. 14/200,& Wadakbal bridge@ Km. 16/500  " 0 "s) " "( Bridges ) " 34900000 1999-09-12 186500000 2014-01-07 2001-12-04 "Sr No. - NA)" NA "Haridas Jadhav / 2172312091" "M/s Patil& Co, Solapur" NA 2014-04-01 20649 2012-07-09 FALSE
"2047" "Upto 3 or more Axle Vehicle" 15 22.5 450 NA " Wadakbal ( Bridges ) " 1 NA 2014-04-01 2014-04-01 " Wadakbal ( Bridges )  Wadakbal - NH-13 in Maharashtra  " " Hattur,Bridge@Km. 14/200,& Wadakbal bridge@ Km. 16/500  " 0 "s) " "( Bridges ) " 34900000 1999-09-12 186500000 2014-01-07 2001-12-04 "Sr No. - NA)" NA "Haridas Jadhav / 2172312091" "M/s Patil& Co, Solapur" NA 2014-04-01 20649 2012-07-09 FALSE
"2048" "Car/Jeep/Van" 30 45 980 NA " Barahi ( BOT ) " 1 NA 2014-04-01 2015-03-01 " Barahi ( BOT )  Km 105.400 - NH-92 in Madhya Pradesh  " " Gwalior to MP/UP Border (Km 0.000 to 107.500)  " 57.5 "s) " "( BOT ) " 3145300000 2013-03-01 4942400000 2014-05-31 2013-03-01 "Sr No. - 500" 25000 "Amit Rathor / 9893594777" "M.P. Highways Pvt. Ltd." 21458 2017-04-01 15182 2014-05-31 FALSE
"2049" "LCV" 45 7000 1580 NA " Barahi ( BOT ) " 1 NA 2014-04-01 2015-03-01 " Barahi ( BOT )  Km 105.400 - NH-92 in Madhya Pradesh  " " Gwalior to MP/UP Border (Km 0.000 to 107.500)  " 57.5 "s) " "( BOT ) " 3145300000 2013-03-01 4942400000 2014-05-31 2013-03-01 "Sr No. - 500" 25000 "Amit Rathor / 9893594777" "M.P. Highways Pvt. Ltd." 21458 2017-04-01 15182 2014-05-31 FALSE
"2050" "Bus/Truck" 100 150 3310 NA " Barahi ( BOT ) " 1 NA 2014-04-01 2015-03-01 " Barahi ( BOT )  Km 105.400 - NH-92 in Madhya Pradesh  " " Gwalior to MP/UP Border (Km 0.000 to 107.500)  " 57.5 "s) " "( BOT ) " 3145300000 2013-03-01 4942400000 2014-05-31 2013-03-01 "Sr No. - 500" 25000 "Amit Rathor / 9893594777" "M.P. Highways Pvt. Ltd." 21458 2017-04-01 15182 2014-05-31 FALSE
"2051" "Upto 3 Axle Vehicle" 155 235 5190 NA " Barahi ( BOT ) " 1 NA 2014-04-01 2015-03-01 " Barahi ( BOT )  Km 105.400 - NH-92 in Madhya Pradesh  " " Gwalior to MP/UP Border (Km 0.000 to 107.500)  " 57.5 "s) " "( BOT ) " 3145300000 2013-03-01 4942400000 2014-05-31 2013-03-01 "Sr No. - 500" 25000 "Amit Rathor / 9893594777" "M.P. Highways Pvt. Ltd." 21458 2017-04-01 15182 2014-05-31 FALSE
"2052" "4 to 6 Axle" 155 235 5190 NA " Barahi ( BOT ) " 1 NA 2014-04-01 2015-03-01 " Barahi ( BOT )  Km 105.400 - NH-92 in Madhya Pradesh  " " Gwalior to MP/UP Border (Km 0.000 to 107.500)  " 57.5 "s) " "( BOT ) " 3145300000 2013-03-01 4942400000 2014-05-31 2013-03-01 "Sr No. - 500" 25000 "Amit Rathor / 9893594777" "M.P. Highways Pvt. Ltd." 21458 2017-04-01 15182 2014-05-31 FALSE
"2053" "HCM/EME" 155 235 5190 NA " Barahi ( BOT ) " 1 NA 2014-04-01 2015-03-01 " Barahi ( BOT )  Km 105.400 - NH-92 in Madhya Pradesh  " " Gwalior to MP/UP Border (Km 0.000 to 107.500)  " 57.5 "s) " "( BOT ) " 3145300000 2013-03-01 4942400000 2014-05-31 2013-03-01 "Sr No. - 500" 25000 "Amit Rathor / 9893594777" "M.P. Highways Pvt. Ltd." 21458 2017-04-01 15182 2014-05-31 FALSE
"2054" "7 or more Axle" 190 285 6320 NA " Barahi ( BOT ) " 1 NA 2014-04-01 2015-03-01 " Barahi ( BOT )  Km 105.400 - NH-92 in Madhya Pradesh  " " Gwalior to MP/UP Border (Km 0.000 to 107.500)  " 57.5 "s) " "( BOT ) " 3145300000 2013-03-01 4942400000 2014-05-31 2013-03-01 "Sr No. - 500" 25000 "Amit Rathor / 9893594777" "M.P. Highways Pvt. Ltd." 21458 2017-04-01 15182 2014-05-31 FALSE
"2055" "Car/Jeep/Van" 20 30 600 NA " Bamanbore ( BOT ) " 1 NA 2003-07-15 2011-07-15 " Bamanbore ( BOT )  Km 182.400 - NH-8A (Old 47 ) in Gujarat  " " NH 8A Km 61.4 to 182.4  " 121 "s) " "( BOT ) " 3690000000 2003-07-15 4281700000 2014-05-31 2003-07-04 "Sr No. - 754)" 17253 "Ex. Engr NH , Sub Dn. Rajkot / 2812445294" "R & B Dept, Gujarat Govt." 33328 2014-05-31 33328 2014-02-07 FALSE
"2056" "LCV" 37.5 56.25 1687 NA " Bamanbore ( BOT ) " 1 NA 2003-07-15 2011-07-15 " Bamanbore ( BOT )  Km 182.400 - NH-8A (Old 47 ) in Gujarat  " " NH 8A Km 61.4 to 182.4  " 121 "s) " "( BOT ) " 3690000000 2003-07-15 4281700000 2014-05-31 2003-07-04 "Sr No. - 754)" 17253 "Ex. Engr NH , Sub Dn. Rajkot / 2812445294" "R & B Dept, Gujarat Govt." 33328 2014-05-31 33328 2014-02-07 FALSE
"2057" "Bus/Truck" 75 112.5 3375 NA " Bamanbore ( BOT ) " 1 NA 2003-07-15 2011-07-15 " Bamanbore ( BOT )  Km 182.400 - NH-8A (Old 47 ) in Gujarat  " " NH 8A Km 61.4 to 182.4  " 121 "s) " "( BOT ) " 3690000000 2003-07-15 4281700000 2014-05-31 2003-07-04 "Sr No. - 754)" 17253 "Ex. Engr NH , Sub Dn. Rajkot / 2812445294" "R & B Dept, Gujarat Govt." 33328 2014-05-31 33328 2014-02-07 FALSE
"2058" "Upto 3 or more Axle Vehicle" 84 126 3780 NA " Bamanbore ( BOT ) " 1 NA 2003-07-15 2011-07-15 " Bamanbore ( BOT )  Km 182.400 - NH-8A (Old 47 ) in Gujarat  " " NH 8A Km 61.4 to 182.4  " 121 "s) " "( BOT ) " 3690000000 2003-07-15 4281700000 2014-05-31 2003-07-04 "Sr No. - 754)" 17253 "Ex. Engr NH , Sub Dn. Rajkot / 2812445294" "R & B Dept, Gujarat Govt." 33328 2014-05-31 33328 2014-02-07 FALSE
"2059" "Car/Jeep/Van" 22 33 660 22 " Patancheru (Prograssive Construction Toll) ( BOT ) " 1 NA 2012-07-09 2014-07-09 " Patancheru (Prograssive Construction Toll) ( BOT )  Km 515.200 - NH-65 (Old 9) in Andhra Pradesh  " " Pune - Hyderabad  " 31 "s) " "( BOT ) " 990000000 2008-12-29 12000000 2014-04-01 2014-04-01 "Sr No. - 1483" NA "Madhu / 7702883377" "MORTH" NA 2014-04-01 NA 2014-04-01 FALSE
"2060" "LCV" 44 66 1320 44 " Patancheru (Prograssive Construction Toll) ( BOT ) " 1 NA 2012-07-09 2014-07-09 " Patancheru (Prograssive Construction Toll) ( BOT )  Km 515.200 - NH-65 (Old 9) in Andhra Pradesh  " " Pune - Hyderabad  " 31 "s) " "( BOT ) " 990000000 2008-12-29 12000000 2014-04-01 2014-04-01 "Sr No. - 1483" NA "Madhu / 7702883377" "MORTH" NA 2014-04-01 NA 2014-04-01 FALSE
"2061" "Bus/Truck" 81 122 2430 81 " Patancheru (Prograssive Construction Toll) ( BOT ) " 1 NA 2012-07-09 2014-07-09 " Patancheru (Prograssive Construction Toll) ( BOT )  Km 515.200 - NH-65 (Old 9) in Andhra Pradesh  " " Pune - Hyderabad  " 31 "s) " "( BOT ) " 990000000 2008-12-29 12000000 2014-04-01 2014-04-01 "Sr No. - 1483" NA "Madhu / 7702883377" "MORTH" NA 2014-04-01 NA 2014-04-01 FALSE
"2062" "Upto 3 or more Axle Vehicle" 176 264 2430 176 " Patancheru (Prograssive Construction Toll) ( BOT ) " 1 NA 2012-07-09 2014-07-09 " Patancheru (Prograssive Construction Toll) ( BOT )  Km 515.200 - NH-65 (Old 9) in Andhra Pradesh  " " Pune - Hyderabad  " 31 "s) " "( BOT ) " 990000000 2008-12-29 12000000 2014-04-01 2014-04-01 "Sr No. - 1483" NA "Madhu / 7702883377" "MORTH" NA 2014-04-01 NA 2014-04-01 FALSE
"2063" "Car/Jeep/Van" 5 5 150 NA " Rawason Bridge ( Bridges ) " 1 NA 2006-02-23 2014-04-01 " Rawason Bridge ( Bridges )  Km 20 - NH-74 (Old 734) in Uttarakhand  " " Bridge of Rawason river in Km. 19  " 0 "s) " "( Bridges ) " 144100000 2006-04-01 109400000 2014-03-31 2006-02-23 "Sr No. - 236" NA "Shree Krishna Pal Singh / 9837684299" "MORTH" NA 2014-04-01 16129 2014-04-01 FALSE
"2064" "LCV" 10 10 300 NA " Rawason Bridge ( Bridges ) " 1 NA 2006-02-23 2014-04-01 " Rawason Bridge ( Bridges )  Km 20 - NH-74 (Old 734) in Uttarakhand  " " Bridge of Rawason river in Km. 19  " 0 "s) " "( Bridges ) " 144100000 2006-04-01 109400000 2014-03-31 2006-02-23 "Sr No. - 236" NA "Shree Krishna Pal Singh / 9837684299" "MORTH" NA 2014-04-01 16129 2014-04-01 FALSE
"2065" "Bus/Truck" 15 15 450 NA " Rawason Bridge ( Bridges ) " 1 NA 2006-02-23 2014-04-01 " Rawason Bridge ( Bridges )  Km 20 - NH-74 (Old 734) in Uttarakhand  " " Bridge of Rawason river in Km. 19  " 0 "s) " "( Bridges ) " 144100000 2006-04-01 109400000 2014-03-31 2006-02-23 "Sr No. - 236" NA "Shree Krishna Pal Singh / 9837684299" "MORTH" NA 2014-04-01 16129 2014-04-01 FALSE
"2066" "Upto 3 or more Axle Vehicle" 15 15 450 NA " Rawason Bridge ( Bridges ) " 1 NA 2006-02-23 2014-04-01 " Rawason Bridge ( Bridges )  Km 20 - NH-74 (Old 734) in Uttarakhand  " " Bridge of Rawason river in Km. 19  " 0 "s) " "( Bridges ) " 144100000 2006-04-01 109400000 2014-03-31 2006-02-23 "Sr No. - 236" NA "Shree Krishna Pal Singh / 9837684299" "MORTH" NA 2014-04-01 16129 2014-04-01 FALSE
"2067" "Car/Jeep/Van" 10 10 NA NA " Nandghat Bridge ( Bridges ) " 1 NA 2009-03-19 2014-03-19 " Nandghat Bridge ( Bridges )  Km 65.800 - NH-200(Old 130) in Chhattisgarh  " " H.L. Bridge at Nandghat  " 66 "s) " "( Bridges ) " 202900000 2009-04-04 132300000 2014-03-31 2014-04-01 "Sr No. - NA)" NA "P.N.Rai / 7714048589" "Bridge Constructed By M/s Gordhands Bobindram Contractor the toll being collected throung state PWD" 3130 2014-03-31 2609 2011-06-20 FALSE
"2068" "LCV" 15 15 NA NA " Nandghat Bridge ( Bridges ) " 1 NA 2009-03-19 2014-03-19 " Nandghat Bridge ( Bridges )  Km 65.800 - NH-200(Old 130) in Chhattisgarh  " " H.L. Bridge at Nandghat  " 66 "s) " "( Bridges ) " 202900000 2009-04-04 132300000 2014-03-31 2014-04-01 "Sr No. - NA)" NA "P.N.Rai / 7714048589" "Bridge Constructed By M/s Gordhands Bobindram Contractor the toll being collected throung state PWD" 3130 2014-03-31 2609 2011-06-20 FALSE
"2069" "Bus/Truck" 25 25 NA NA " Nandghat Bridge ( Bridges ) " 1 NA 2009-03-19 2014-03-19 " Nandghat Bridge ( Bridges )  Km 65.800 - NH-200(Old 130) in Chhattisgarh  " " H.L. Bridge at Nandghat  " 66 "s) " "( Bridges ) " 202900000 2009-04-04 132300000 2014-03-31 2014-04-01 "Sr No. - NA)" NA "P.N.Rai / 7714048589" "Bridge Constructed By M/s Gordhands Bobindram Contractor the toll being collected throung state PWD" 3130 2014-03-31 2609 2011-06-20 FALSE
"2070" "Upto 3 Axle Vehicle" NA NA NA NA " Nandghat Bridge ( Bridges ) " 1 NA 2009-03-19 2014-03-19 " Nandghat Bridge ( Bridges )  Km 65.800 - NH-200(Old 130) in Chhattisgarh  " " H.L. Bridge at Nandghat  " 66 "s) " "( Bridges ) " 202900000 2009-04-04 132300000 2014-03-31 2014-04-01 "Sr No. - NA)" NA "P.N.Rai / 7714048589" "Bridge Constructed By M/s Gordhands Bobindram Contractor the toll being collected throung state PWD" 3130 2014-03-31 2609 2011-06-20 FALSE
"2071" "4 to 6 Axle" NA NA NA NA " Nandghat Bridge ( Bridges ) " 1 NA 2009-03-19 2014-03-19 " Nandghat Bridge ( Bridges )  Km 65.800 - NH-200(Old 130) in Chhattisgarh  " " H.L. Bridge at Nandghat  " 66 "s) " "( Bridges ) " 202900000 2009-04-04 132300000 2014-03-31 2014-04-01 "Sr No. - NA)" NA "P.N.Rai / 7714048589" "Bridge Constructed By M/s Gordhands Bobindram Contractor the toll being collected throung state PWD" 3130 2014-03-31 2609 2011-06-20 FALSE
"2072" "HCM/EME" NA NA NA NA " Nandghat Bridge ( Bridges ) " 1 NA 2009-03-19 2014-03-19 " Nandghat Bridge ( Bridges )  Km 65.800 - NH-200(Old 130) in Chhattisgarh  " " H.L. Bridge at Nandghat  " 66 "s) " "( Bridges ) " 202900000 2009-04-04 132300000 2014-03-31 2014-04-01 "Sr No. - NA)" NA "P.N.Rai / 7714048589" "Bridge Constructed By M/s Gordhands Bobindram Contractor the toll being collected throung state PWD" 3130 2014-03-31 2609 2011-06-20 FALSE
"2073" "7 or more Axle" NA NA NA NA " Nandghat Bridge ( Bridges ) " 1 NA 2009-03-19 2014-03-19 " Nandghat Bridge ( Bridges )  Km 65.800 - NH-200(Old 130) in Chhattisgarh  " " H.L. Bridge at Nandghat  " 66 "s) " "( Bridges ) " 202900000 2009-04-04 132300000 2014-03-31 2014-04-01 "Sr No. - NA)" NA "P.N.Rai / 7714048589" "Bridge Constructed By M/s Gordhands Bobindram Contractor the toll being collected throung state PWD" 3130 2014-03-31 2609 2011-06-20 FALSE
"2074" "Car/Jeep/Van" 24 24 NA NA " Kharun ( BOT ) " 1 NA 2014-04-01 2015-04-01 " Kharun ( BOT )  Km 285.400 - NH-6 (Old 53) in Chhattisgarh  " " Raipur - Durg  " 26.6 "s) " "( BOT ) " 820000000 2006-06-18 1554300000 2014-03-31 2006-06-13 "Sr No. - NA)" 22103 "Nalin Sharma / 7869917333" "M/s DSCVentures Pvt. Ltd. New Delhi" 11200 2014-09-07 10251 2013-09-07 FALSE
